Surname,First Names,Age,Boarded,Class,Sex,Status
Ab ī-Al-Munà,Mr Nās īf Qāsim,26,Cherbourg,3rd,Male,Alive
Abbing,Mr Anthony,42,Southampton,3rd,Male,Dead
Abbott,Mr Eugene Joseph,14,Southampton,3rd,Male,Dead
Abbott,Mrs Rhoda Mary “Rosa”,39,Southampton,3rd,Female,Alive
Abbott,Mr Rossmore Edward,16,Southampton,3rd,Male,Dead
Abelseth,Miss Karen Marie,16,Southampton,3rd,Female,Alive
Abelseth,Mr Olaus Jørgensen,25,Southampton,3rd,Male,Alive
Abelson,Mrs Hannah,28,Cherbourg,2nd,Female,Alive
Abelson,Mr Samuel,30,Cherbourg,2nd,Male,Dead
Abrahamsson,Mr Abraham August Johannes,20,Southampton,3rd,Male,Alive
Adams,Mr John,26,Southampton,3rd,Male,Dead
Ahlin,Mrs Johanna Persdotter,40,Southampton,3rd,Female,Dead
Aks,Master Frank Philip,10m,Southampton,3rd,Male,Alive
Aks,Mrs Leah,18,Southampton,3rd,Female,Alive
Al-Munà,Mr Far īd Husayn Qāsim,18,Cherbourg,3rd,Male,Dead
Aldworth,Mr Augustus Henry,34,Southampton,2nd,Male,Dead
Alexander,Mr William Albert,23,Southampton,3rd,Male,Dead
Alhomäki,Mr Ilmari Rudolf,19,Southampton,3rd,Male,Dead
Ali,Mr Ahmed,24,Southampton,3rd,Male,Dead
Ali,Mr William,25,Southampton,3rd,Male,Dead
Allen,Miss Elisabeth Walton,29,Southampton,1st,Female,Alive
Allen,Mr William Henry,38,Southampton,3rd,Male,Dead
Allison,Mrs Bessie Waldo,25,Southampton,1st,Female,Dead
Allison,Miss Helen Loraine,2,Southampton,1st,Female,Dead
Allison,Master Hudson Trevor,11m,Southampton,1st,Male,Alive
Allison,Mr Hudson Joshua Creighton,30,Southampton,1st,Male,Dead
Allum,Mr Owen George,15,Southampton,3rd,Male,Dead
Andersen,Mr Albert Karvin,33,Southampton,3rd,Male,Dead
Andersen-Jensen,Miss Carla Christine Nielsine,19,Southampton,3rd,Female,Alive
Anderson,Mr Harry,47,Southampton,1st,Male,Alive
Andersson,Miss Ellis Anna Maria,2,Southampton,3rd,Female,Dead
Andersson,Miss Ebba Iris Alfrida,6,Southampton,3rd,Female,Dead
Andersson,Miss Erna Alexandra,17,Southampton,3rd,Female,Alive
Andersson,Miss Ingeborg Constanzia,9,Southampton,3rd,Female,Dead
Andersson,Miss Sigrid Elisabeth,11,Southampton,3rd,Female,Dead
Andersson,Mr Johan Samuel,26,Southampton,3rd,Male,Dead
Andersson,Miss Ida Augusta Margareta,38,Southampton,3rd,Female,Dead
Andersson,Mrs Alfrida Konstantia Brogren,39,Southampton,3rd,Female,Dead
Andersson,Mr Anders Johan,39,Southampton,3rd,Male,Dead
Andersson,Master Sigvard Harald Elias,4,Southampton,3rd,Male,Dead
Andreasson,Mr Pål Edvin,20,Southampton,3rd,Male,Dead
Andrew,Mr Edgar Samuel,17,Southampton,2nd,Male,Dead
Andrew,Mr Frank Thomas,25,Southampton,2nd,Male,Dead
Andrews,Mr Thomas,39,Belfast,1st,Male,Dead
Andrews,Miss Kornelia Theodosia,62,Cherbourg,1st,Female,Alive
Angheloff,Mr Minko,26,Southampton,3rd,Male,Dead
Angle,Mr William,32,Southampton,2nd,Male,Dead
Angle,Mrs Florence Agnes,36,Southampton,2nd,Female,Alive
Appleton,Mrs Charlotte,53,Southampton,1st,Female,Alive
Arnold-Franchi,Mrs Josefine,18,Southampton,3rd,Female,Dead
Arnold-Franchi,Mr Josef,25,Southampton,3rd,Male,Dead
Aronsson,Mr Ernst Axel Algot,24,Southampton,3rd,Male,Dead
Artagaveytia,Mr Ramon,71,Cherbourg,1st,Male,Dead
Ashby,Mr John,57,Southampton,2nd,Male,Dead
